iter	Logloss
0	0.6709922786
1	0.6483785997
2	0.6308498506
3	0.6138776842
4	0.5969090204
5	0.5835617528
6	0.5717986752
7	0.5599753971
8	0.5485657349
9	0.5376777445
10	0.5282422694
11	0.5208553097
12	0.5138223411
13	0.5064052685
14	0.4995287454
15	0.4942094305
16	0.4885526328
17	0.483702013
18	0.4798505544
19	0.4752916825
20	0.4710240511
21	0.4676256311
22	0.4641821311
23	0.4612982859
24	0.4581883481
25	0.4555323182
26	0.4522162089
27	0.4492388166
28	0.4468357594
29	0.4443336444
30	0.4421911687
31	0.4405464243
32	0.4387112741
33	0.4371234026
34	0.4355581797
35	0.4336894884
36	0.4320369064
37	0.4310157879
38	0.429419377
39	0.427102064
40	0.4258394101
41	0.4245362151
42	0.4235200774
43	0.4222633709
44	0.4209930335
45	0.4199210688
46	0.4188088065
47	0.4177946539
48	0.4168201251
49	0.4159006399
50	0.4141256585
51	0.4129718406
52	0.4122560915
53	0.4114762631
54	0.4107767685
55	0.4099427649
56	0.4090481374
57	0.4082260931
58	0.4071002771
59	0.4063187735
60	0.4054962116
61	0.4047815794
62	0.4038812246
63	0.4033325912
64	0.4025570138
65	0.4017155802
66	0.4009627022
67	0.4001017692
68	0.3994547713
69	0.3987428656
70	0.39813846
71	0.397497898
72	0.3969938974
73	0.3963131868
74	0.395476003
75	0.3949559607
76	0.394264254
77	0.393306159
78	0.3924775513
79	0.3917110837
80	0.3912346028
81	0.3906530695
82	0.3900396726
83	0.3895891802
84	0.388879709
85	0.3882716649
86	0.3877664991
87	0.3867622657
88	0.3857594902
89	0.3853439782
90	0.3848719929
91	0.3843353781
92	0.3838257617
93	0.3833510571
94	0.3826929408
95	0.3821725423
96	0.381755206
97	0.3812729582
98	0.3808370694
99	0.380454063
100	0.380108217
101	0.3796969649
102	0.3792594994
103	0.3786326232
104	0.3782993479
105	0.37798359
106	0.3772050108
107	0.3768156484
108	0.3762154658
109	0.3758514482
110	0.3749369075
111	0.3745011159
112	0.3739120696
113	0.3735455661
114	0.3732132471
115	0.3727548463
116	0.372341616
117	0.3718587578
118	0.3713868286
119	0.3710225128
120	0.3706581239
121	0.3702478136
122	0.369946068
123	0.3696669977
124	0.3692570455
125	0.3687292738
126	0.3683528298
127	0.3677684284
128	0.3673388367
129	0.3669753926
130	0.3667458336
131	0.3661464722
132	0.3656633322
133	0.3652287665
134	0.364705695
135	0.3642991237
136	0.3639428826
137	0.3637139773
