iter	Passed	Remaining
0	13	13857
1	26	13026
2	38	12783
3	51	12726
4	64	12741
5	78	12934
6	91	12933
7	105	13048
8	118	13057
9	131	13008
10	144	13003
11	157	12997
12	170	12926
13	182	12873
14	196	12908
15	210	12936
16	223	12938
17	236	12897
18	249	12902
19	263	12929
20	276	12895
21	290	12927
22	304	12929
23	318	12944
24	330	12907
25	343	12858
26	357	12870
27	371	12881
28	384	12873
29	399	12923
30	413	12915
31	426	12916
32	440	12911
33	454	12907
34	467	12891
35	481	12888
36	493	12856
37	507	12853
38	526	12970
39	539	12952
40	552	12932
41	566	12920
42	579	12903
43	592	12883
44	605	12860
45	619	12855
46	633	12848
47	647	12841
48	660	12819
49	674	12806
50	686	12777
51	700	12771
52	712	12738
53	726	12723
54	739	12714
55	753	12705
56	767	12691
57	780	12676
58	794	12674
59	809	12684
60	823	12669
61	836	12655
62	849	12633
63	862	12613
64	875	12597
65	888	12578
66	901	12560
67	916	12562
68	929	12537
69	943	12528
70	955	12508
71	970	12509
72	983	12492
73	996	12471
74	1010	12462
75	1023	12445
76	1036	12428
77	1049	12411
78	1064	12412
79	1077	12392
80	1090	12369
81	1102	12347
82	1116	12338
83	1130	12322
84	1143	12305
85	1156	12290
86	1169	12270
87	1183	12260
88	1200	12292
89	1214	12275
90	1227	12265
91	1240	12244
92	1253	12229
93	1266	12206
94	1280	12198
95	1294	12185
96	1307	12170
97	1320	12150
98	1333	12138
99	1347	12127
100	1360	12113
101	1373	12092
102	1386	12072
103	1399	12056
104	1412	12041
105	1426	12031
106	1440	12018
107	1453	12004
108	1467	11994
109	1481	11982
110	1494	11969
111	1508	11962
112	1522	11949
113	1535	11931
114	1547	11908
115	1561	11897
116	1574	11880
117	1586	11861
118	1600	11848
119	1613	11831
120	1626	11817
121	1639	11800
122	1657	11818
123	1670	11803
124	1683	11783
125	1696	11769
126	1711	11761
127	1724	11747
128	1738	11739
129	1751	11718
130	1764	11703
131	1778	11691
132	1790	11674
133	1803	11658
134	1817	11647
135	1830	11630
136	1844	11618
137	1856	11598
138	1870	11587
139	1883	11573
140	1896	11555
141	1909	11540
142	1923	11526
143	1936	11511
144	1949	11497
145	1963	11484
146	1975	11464
147	1989	11452
148	2002	11437
149	2015	11421
150	2028	11405
151	2042	11392
152	2054	11374
153	2067	11359
154	2081	11345
155	2095	11336
156	2107	11316
157	2120	11302
158	2134	11291
159	2148	11279
160	2161	11263
161	2174	11248
162	2187	11234
163	2200	11219
164	2214	11205
165	2228	11194
166	2241	11180
167	2254	11165
168	2267	11150
169	2277	11120
170	2290	11104
171	2303	11089
172	2316	11075
173	2331	11068
174	2345	11056
175	2358	11040
176	2368	11012
177	2381	10999
178	2395	10986
179	2408	10971
180	2427	10985
181	2440	10966
182	2452	10950
183	2465	10935
184	2478	10920
185	2491	10904
186	2504	10890
187	2517	10875
188	2530	10858
189	2543	10844
190	2557	10832
191	2569	10815
192	2583	10801
193	2598	10797
194	2611	10781
195	2624	10764
196	2636	10747
197	2649	10732
198	2663	10719
199	2675	10702
200	2689	10690
201	2702	10676
202	2715	10662
203	2728	10647
204	2741	10633
205	2754	10618
206	2767	10601
207	2780	10587
208	2793	10572
209	2806	10556
210	2820	10546
211	2832	10529
212	2845	10514
213	2858	10499
214	2872	10486
215	2884	10471
216	2897	10455
217	2910	10440
218	2923	10425
219	2937	10414
220	2950	10400
221	2963	10385
222	2977	10373
223	2991	10364
224	3005	10351
225	3017	10334
226	3030	10321
227	3044	10309
228	3057	10295
229	3070	10280
230	3084	10267
231	3097	10254
232	3119	10269
